"station","hour_of_day","avg_availability","avg_delta"
100,22,7.93,0.49
100,23,8.54,0.61
101,0,12.64,0.00
101,1,12.74,-0.11
101,2,12.86,0.30
101,3,13.04,0.18
101,4,13.42,0.22
101,5,13.39,0.14
101,6,13.04,-0.35
101,7,12.67,-0.16
101,8,12.80,0.13
101,9,12.73,-0.08
101,10,12.46,-0.27
101,11,12.35,-0.11
101,12,11.98,-0.37
101,13,11.56,-0.42
101,14,11.24,-0.32
101,15,10.92,-0.32
101,16,11.75,0.83
101,17,12.11,0.36
101,18,12.13,0.08
101,19,12.18,0.05
101,20,11.58,-0.75
101,21,11.56,-0.02
101,22,11.72,0.16
101,23,11.75,0.03
102,0,8.01,0.25
102,1,8.14,0.13
102,2,8.08,-0.25
102,3,8.11,0.03
102,4,8.23,0.06
102,5,8.04,-0.13
102,6,7.40,-0.64
102,7,6.53,-0.88
102,8,5.56,-0.98
102,9,5.22,-0.34
102,10,4.92,-0.29
102,11,4.60,-0.32
102,12,4.25,-0.36
102,13,4.20,-0.05
102,14,4.33,0.13
102,15,4.69,0.37
102,16,5.15,0.45
102,17,5.54,0.40
102,18,5.72,0.09
102,19,5.98,0.27
102,20,6.81,0.85
102,21,7.32,0.51
102,22,7.75,0.44
102,23,8.17,0.42
103,0,11.49,0.25
103,1,11.81,0.30
103,2,12.24,0.62
103,3,12.42,0.17
103,4,12.55,0.22
103,5,12.69,0.05
103,6,11.75,-0.94
103,7,10.88,-0.83
103,8,9.42,-1.46
103,9,8.70,-0.72
103,10,7.86,-0.84
103,11,7.42,-0.44
103,12,6.96,-0.46
103,13,6.52,-0.44
103,14,6.09,-0.43
103,15,5.89,-0.20
103,16,6.59,0.70
103,17,7.96,1.37
103,18,8.93,1.05
103,19,9.53,0.59
103,20,10.51,0.88
103,21,11.02,0.50
103,22,11.29,0.27
103,23,11.47,0.18
104,0,13.01,0.20
104,1,13.35,0.19
104,2,13.36,0.05
104,3,13.50,0.14
104,4,13.45,0.10
104,5,13.59,-0.01
104,6,13.35,-0.24
104,7,11.92,-1.29
104,8,11.03,-0.89
104,9,10.65,-0.38
104,10,10.30,-0.35
104,11,9.96,-0.35
104,12,9.64,-0.32
104,13,9.75,0.11
104,14,9.81,0.06
104,15,10.14,0.33
104,16,10.84,0.70
104,17,10.79,-0.05
104,18,10.72,0.04
104,19,11.34,0.62
104,20,12.27,0.80
104,21,12.77,0.50
104,22,13.18,0.40
104,23,13.47,0.29
105,0,16.10,0.62
105,1,16.42,0.32
105,2,16.81,0.56
105,3,16.89,0.08
105,4,16.77,-0.06
105,5,16.85,0.02
105,6,16.25,-0.60
105,7,14.00,-2.25
105,8,13.00,-1.00
105,9,12.26,-0.74
105,10,11.87,-0.39
105,11,11.60,-0.27
105,12,11.61,0.01
105,13,11.42,-0.19
105,14,10.94,-0.48
105,15,11.27,0.33
105,16,11.70,0.43
105,17,12.02,0.32
105,18,12.19,0.30
105,19,12.93,0.74
105,20,14.01,1.04
105,21,14.84,0.83
105,22,15.02,0.19
105,23,15.29,0.26
106,0,6.44,0.35
106,1,6.56,0.09
106,2,6.48,-0.39
106,3,6.62,0.14
106,4,6.83,0.14
106,5,7.01,0.26
106,6,7.69,0.68
106,7,9.89,2.25
106,8,10.54,0.65
106,9,9.96,-0.58
106,10,9.10,-0.86
106,11,8.32,-0.78
106,12,7.95,-0.38
106,13,7.42,-0.53
106,14,6.26,-1.16
106,15,4.24,-2.01
106,16,3.52,-0.72
106,17,4.22,0.70
106,18,4.55,0.26
106,19,4.81,0.26
106,20,5.54,0.69
106,21,5.56,0.03
106,22,5.55,-0.01
106,23,5.93,0.38
107,0,13.81,0.57
107,1,14.66,0.79
107,2,15.03,0.65
107,3,15.29,0.26
107,4,15.21,0.06
107,5,14.91,-0.44
107,6,13.32,-1.58
107,7,10.05,-3.23
107,8,7.67,-2.38
107,9,6.77,-0.90
107,10,5.89,-0.88
107,11,5.28,-0.61
107,12,4.98,-0.30
107,13,5.15,0.17
107,14,5.78,0.63
107,15,6.62,0.84
107,16,7.76,1.13
107,17,9.06,1.30
107,18,9.34,0.31
107,19,10.22,0.88
107,20,11.70,1.44
107,21,13.23,1.53
107,22,14.26,1.03
107,23,14.87,0.60
108,0,3.18,0.19
108,1,3.41,0.27
108,2,3.97,0.35
108,3,3.99,0.03
108,4,4.14,0.11
108,5,4.12,0.02
108,6,4.46,0.34
108,7,5.90,1.43
108,8,7.61,1.71
108,9,8.79,1.18
108,10,8.52,-0.27
108,11,7.96,-0.56
108,12,7.51,-0.45
108,13,7.16,-0.36
108,14,6.08,-1.08
108,15,3.47,-2.61
108,16,2.04,-1.44
108,17,2.05,0.02
108,18,2.66,0.68
108,19,3.14,0.47
108,20,3.56,0.50
108,21,3.46,-0.11
108,22,2.86,-0.60
108,23,2.90,0.04
109,0,4.67,-0.26
109,1,4.91,0.12
109,2,5.25,0.31
109,3,5.24,-0.02
109,4,5.39,0.22
109,5,5.29,-0.15
109,6,5.41,0.12
109,7,4.75,-0.53
109,8,5.78,1.04
109,9,6.62,0.83
109,10,6.10,-0.52
109,11,5.69,-0.41
109,12,5.63,-0.06
109,13,4.94,-0.69
109,14,4.16,-0.77
109,15,2.48,-1.69
109,16,1.89,-0.59
109,17,1.61,-0.27
109,18,2.90,1.24
109,19,4.08,1.18
109,20,4.58,0.80
109,21,4.18,-0.40
109,22,4.16,-0.01
109,23,4.33,0.17
110,0,5.48,0.54
110,1,6.06,0.52
110,2,6.46,0.57
110,3,6.78,0.32
110,4,6.89,0.02
110,5,6.78,-0.02
110,6,6.18,-0.60
110,7,5.77,-0.35
110,8,6.26,0.49
110,9,5.68,-0.58
110,10,5.44,-0.25
110,11,4.93,-0.51
110,12,4.64,-0.29
110,13,3.88,-0.76
110,14,3.04,-0.85
110,15,2.83,-0.21
110,16,2.21,-0.61
110,17,2.29,0.08
110,18,2.77,0.46
110,19,2.93,0.15
110,20,3.24,0.29
110,21,3.92,0.68
110,22,4.54,0.62
110,23,5.35,0.80
111,0,5.05,0.16
111,1,5.45,0.31
111,2,5.98,0.68
111,3,6.18,0.20
111,4,6.21,0.02
111,5,5.97,-0.23
111,6,4.69,-1.27
111,7,4.33,-0.29
111,8,5.32,0.99
111,9,5.07,-0.25
111,10,4.29,-0.78
111,11,3.65,-0.64
111,12,3.32,-0.33
111,13,2.49,-0.83
111,14,2.37,-0.12
111,15,2.11,-0.26
111,16,1.70,-0.42
111,17,1.73,0.03
111,18,1.72,-0.04
111,19,1.90,0.19
111,20,3.05,1.11
111,21,3.82,0.77
111,22,4.30,0.48
111,23,4.50,0.20
112,0,1.30,-0.17
112,1,1.28,-0.03
112,2,1.27,0.02
112,3,1.28,0.01
112,4,1.35,0.14
112,5,1.68,0.26
112,6,1.92,0.24
112,7,1.91,0.01
112,8,2.85,0.94
112,9,4.00,1.15
112,10,4.78,0.78
112,11,4.87,0.09
112,12,4.96,0.09
112,13,4.87,-0.08
112,14,4.30,-0.57
112,15,4.21,-0.09
112,16,2.88,-1.33
112,17,1.85,-1.03
112,18,2.12,0.24
112,19,1.87,-0.25
112,20,2.22,0.41
112,21,1.89,-0.32
112,22,1.51,-0.38
112,23,1.33,-0.18
113,0,2.91,-0.19
113,1,2.76,-0.19
113,2,2.60,-0.23
113,3,2.59,0.00
113,4,2.78,0.18
113,5,2.86,0.09
113,6,2.51,-0.35
113,7,1.84,-0.64
113,8,3.07,1.23
113,9,4.16,1.09
113,10,4.69,0.53
113,11,4.90,0.22
113,12,4.25,-0.65
113,13,4.60,0.34
113,14,5.52,0.92
113,15,6.29,0.78
113,16,3.66,-2.63
113,17,3.05,-0.61
113,18,3.08,-0.02
113,19,2.95,-0.13
113,20,4.62,1.63
113,21,4.41,-0.21
113,22,3.55,-0.86
113,23,3.30,-0.26
114,0,1.98,0.01
114,1,2.03,0.00
114,2,2.16,0.17
114,3,2.31,0.14
114,4,2.19,0.02
114,5,2.23,-0.10
114,6,2.37,0.14
114,7,2.23,-0.09
114,8,3.28,1.06
114,9,3.88,0.60
114,10,3.53,-0.35
114,11,3.52,-0.01
114,12,3.04,-0.48
114,13,2.42,-0.62
114,14,1.77,-0.65
114,15,1.58,-0.19
114,16,1.30,-0.28
114,17,1.67,0.37
114,18,1.96,0.28
114,19,1.57,-0.38
114,20,2.13,0.54
114,21,2.22,0.09
114,22,1.93,-0.28
114,23,1.97,0.04
115,0,11.33,0.44
115,1,11.75,0.22
115,2,11.85,0.37
115,3,12.05,0.20
115,4,11.59,-0.38
115,5,10.35,-1.33
115,6,7.35,-2.99
115,7,3.57,-3.68
115,8,3.54,-0.03
115,9,3.43,-0.11
115,10,3.41,-0.02
115,11,3.20,-0.22
115,12,3.34,0.15
115,13,3.13,-0.22
115,14,3.84,0.72
115,15,3.96,0.12
115,16,3.83,-0.13
115,17,3.92,0.09
115,18,4.94,0.95
115,19,6.64,1.70
115,20,8.81,2.14
115,21,10.78,1.97
115,22,11.45,0.66
115,23,11.79,0.35
116,0,11.42,0.95
116,1,12.00,0.49
116,2,12.72,1.12
116,3,12.98,0.25
116,4,12.67,-0.34
116,5,11.98,-0.66
116,6,8.65,-3.33
116,7,5.00,-3.63
116,8,3.71,-1.28
116,9,5.00,1.29
116,10,5.46,0.45
116,11,6.31,0.85
116,12,6.92,0.61
116,13,6.46,-0.47
116,14,6.81,0.35
116,15,7.34,0.53
116,16,6.99,-0.35
116,17,7.14,0.16
116,18,8.48,1.23
116,19,9.43,0.95
116,20,10.00,0.50
116,21,10.08,0.07
116,22,10.28,0.20
116,23,11.05,0.77
117,0,6.06,0.01
117,1,6.25,0.09
117,2,6.59,0.40
117,3,6.65,0.06
117,4,5.98,-0.66
117,5,5.12,-0.88
117,6,2.46,-2.66
117,7,1.53,-0.91
117,8,1.48,-0.05
117,9,1.09,-0.39
117,10,1.14,0.05
117,11,0.83,-0.31
117,12,1.04,0.21
117,13,1.26,0.22
117,14,1.64,0.39
117,15,1.64,-0.01
117,16,1.84,0.21
117,17,2.04,0.20
117,18,2.60,0.54
117,19,3.65,1.04
117,20,4.76,1.09
117,21,5.78,1.02
117,22,6.27,0.50
117,23,6.32,0.05
118,0,8.78,-0.28
118,1,8.33,-0.53
118,2,8.71,0.62
118,3,8.92,0.20
118,4,8.33,-0.48
118,5,7.83,-0.62
118,6,6.71,-1.12
118,7,6.88,0.21
118,8,8.32,1.43
118,9,5.80,-2.52
118,10,5.00,-0.80
118,11,3.74,-1.27
118,12,3.53,-0.20
118,13,3.47,-0.06
118,14,2.67,-0.81
118,15,1.88,-0.79
118,16,1.96,0.08
118,17,2.80,0.84
118,18,4.04,1.19
118,19,5.07,1.03
118,20,7.03,1.86
118,21,8.39,1.36
118,22,9.11,0.73
118,23,9.23,0.12
119,0,3.46,-0.15
119,1,3.16,-0.21
119,2,3.02,-0.09
119,3,2.99,-0.03
119,4,3.04,0.01
119,5,3.18,0.18
119,6,5.51,2.33
119,7,10.78,5.22
119,8,14.51,3.74
119,9,14.48,-0.03
119,10,12.85,-1.63
119,11,10.73,-2.12
119,12,9.79,-0.94
119,13,8.61,-1.18
119,14,4.96,-3.65
119,15,1.62,-3.33
119,16,1.31,-0.31
119,17,1.39,0.08
119,18,1.86,0.45
119,19,2.64,0.78
119,20,3.34,0.81
119,21,3.45,0.11
119,22,3.51,0.06
119,23,3.44,-0.07
120,0,7.02,-0.56
120,1,6.43,-0.46
120,2,6.24,0.05
120,3,5.88,-0.36
120,4,5.91,-0.07
120,5,5.75,-0.06
120,6,8.08,2.33
120,7,7.72,-0.47
120,8,6.45,-1.28
120,9,6.46,0.02
120,10,6.81,0.35
120,11,8.28,1.47
120,12,8.89,0.61
120,13,9.50,0.62
120,14,14.34,4.84
120,15,13.09,-1.25
120,16,9.46,-3.63
120,17,8.29,-1.17
120,18,8.22,0.02
120,19,8.04,-0.18
120,20,8.69,0.79
120,21,8.86,0.18
120,22,8.44,-0.43
120,23,7.57,-0.86
121,0,8.38,0.26
121,1,7.35,0.05
121,2,7.30,-0.05
121,3,7.35,0.05
121,4,6.97,-0.21
121,5,7.54,0.38
121,6,7.01,-0.52
121,7,6.96,-1.14
121,8,8.02,1.05
121,9,8.16,0.15
121,10,8.63,0.47
121,11,8.63,0.00
121,12,9.35,0.72
121,13,9.23,-0.12
121,14,8.91,0.08
121,15,9.36,0.45
121,16,8.57,-0.79
121,17,8.83,0.08
121,18,8.84,0.26
121,19,8.98,0.13
121,20,8.01,-0.24
121,21,8.35,0.34
121,22,7.89,-0.45
121,23,7.48,-0.41
122,0,11.57,-2.95
122,1,10.71,-0.91
122,2,10.67,0.02
122,3,10.54,-0.13
122,4,10.33,-0.25
122,5,9.55,-0.75
122,6,9.04,-0.51
122,7,13.31,4.26
122,8,15.79,2.48
122,9,14.61,-1.18
122,10,12.21,-2.39
122,11,10.81,-1.41
122,12,10.69,-0.12
122,13,10.59,-0.10
122,14,8.25,-2.34
122,15,6.10,-2.15
122,16,6.57,0.47
122,17,8.53,1.96
122,18,10.26,1.61
122,19,11.88,1.62
122,20,13.34,1.36
122,21,13.93,0.59
122,22,13.55,-0.38
122,23,11.69,-1.86
123,0,14.66,0.60
123,1,14.58,-0.01
123,2,14.81,0.61
123,3,14.55,-0.26
123,4,14.47,-0.27
123,5,13.43,-0.86
123,6,11.15,-2.28
123,7,8.16,-3.12
123,8,5.50,-2.66
123,9,4.50,-1.00
123,10,4.55,0.05
123,11,4.35,-0.20
123,12,4.64,0.29
123,13,5.46,0.82
123,14,5.81,0.35
123,15,5.57,-0.24
123,16,7.38,1.81
123,17,9.10,1.72
123,18,9.36,0.14
123,19,10.16,0.81
123,20,12.18,1.81
123,21,14.27,2.09
123,22,15.22,0.96
123,23,15.63,0.40
125,0,23.52,0.48
125,1,23.99,0.30
125,2,24.55,1.06
125,3,24.97,0.42
125,4,25.16,0.17
125,5,24.17,-0.96
125,6,20.80,-3.38
125,7,15.28,-5.41
125,8,10.70,-4.58
125,9,9.10,-1.60
125,10,8.62,-0.48
125,11,7.98,-0.64
125,12,7.60,-0.38
125,13,8.90,1.30
125,14,10.76,1.86
125,15,12.80,2.04
125,16,16.34,3.55
125,17,19.27,2.93
125,18,20.59,1.44
125,19,21.54,0.95
125,20,21.05,-0.44
125,21,21.87,0.82
125,22,22.74,0.87
125,23,23.61,0.87
126,0,8.73,0.08
126,1,8.43,-0.16
126,2,8.36,-0.40
126,3,8.44,0.07
126,4,8.69,0.25
126,5,9.11,0.43
126,6,10.63,1.52
126,7,13.95,3.21
126,8,16.23,2.28
126,9,16.26,0.03
126,10,15.98,-0.28
126,11,15.62,-0.36
126,12,15.47,-0.15
126,13,15.55,0.08
126,14,14.08,-1.47
126,15,11.16,-2.92
126,16,9.67,-1.49
126,17,8.94,-0.73
126,18,8.86,-0.07
126,19,8.83,-0.03
126,20,8.64,-0.28
126,21,8.57,-0.07
126,22,8.22,-0.35
126,23,8.05,-0.17
127,0,5.24,-0.64
127,1,5.09,-0.26
127,2,5.09,-0.15
127,3,5.26,0.17
127,4,5.60,0.44
127,5,7.03,1.35
127,6,9.28,2.25
127,7,14.85,5.75
127,8,19.51,4.66
127,9,20.73,1.23
127,10,20.79,0.05
127,11,20.33,-0.46
127,12,18.77,-1.56
127,13,16.92,-1.85
127,14,12.96,-3.96
127,15,8.83,-4.13
127,16,6.57,-2.25
127,17,6.73,0.16
127,18,6.57,-0.22
127,19,6.67,0.10
127,20,6.84,0.06
127,21,6.73,-0.11
127,22,6.05,-0.68
127,23,5.56,-0.48
128,0,5.50,-0.04
128,1,5.39,0.06
128,2,5.53,0.09
128,3,5.40,-0.13
128,4,5.29,-0.14
128,5,4.96,-0.30
128,6,3.46,-1.50
128,7,1.74,-1.92
128,8,1.09,-0.66
128,9,0.84,-0.24
128,10,0.78,-0.07
128,11,0.90,0.12
128,12,0.95,0.05
128,13,1.11,0.16
128,14,1.30,0.20
128,15,1.39,0.09
128,16,2.54,1.15
128,17,2.59,0.05
128,18,2.81,0.19
128,19,3.06,0.25
128,20,3.99,1.02
128,21,5.02,1.04
128,22,5.80,0.77
128,23,6.12,0.32
129,0,11.34,0.48
129,1,11.43,0.12
129,2,11.70,0.19
129,3,11.63,-0.07
129,4,11.52,-0.17
129,5,10.85,-0.62
129,6,7.46,-3.39
129,7,4.24,-3.32
129,8,3.10,-1.14
129,9,3.09,-0.01
129,10,2.79,-0.31
129,11,2.64,-0.15
129,12,2.33,-0.32
129,13,2.46,0.13
129,14,2.93,0.48
129,15,3.60,0.67
129,16,3.70,0.10
129,17,4.18,0.49
129,18,4.52,0.30
129,19,5.49,0.97
129,20,7.72,2.22
129,21,9.58,1.85
129,22,10.40,0.82
129,23,10.97,0.57
130,0,1.68,0.01
130,1,1.66,-0.01
130,2,1.56,-0.12
130,3,1.49,-0.07
130,4,1.51,0.00
130,5,1.99,0.49
130,6,5.40,3.41
130,7,14.81,9.48
130,8,20.87,6.06
130,9,21.49,0.62
130,10,18.98,-2.51
130,11,18.92,-0.06
130,12,18.14,-0.78
130,13,16.79,-1.35
130,14,11.52,-5.27
130,15,2.03,-9.49
130,16,1.22,-0.80
130,17,1.28,0.06
130,18,1.71,0.43
130,19,1.58,-0.13
130,20,1.60,0.01
130,21,1.50,-0.10
130,22,1.31,-0.20
130,23,1.23,-0.08
131,0,4.50,0.06
131,1,4.35,-0.20
131,2,3.95,-0.50
131,3,3.83,-0.12
131,4,3.86,-0.01
131,5,4.11,0.29
131,6,6.61,2.50
131,7,12.63,6.11
131,8,17.61,4.98
131,9,19.11,1.50
131,10,18.55,-0.56
131,11,17.32,-1.24
131,12,16.25,-1.07
131,13,14.72,-1.53
131,14,9.30,-5.42
131,15,2.34,-6.96
131,16,1.74,-0.60
131,17,1.75,0.01
131,18,2.45,0.68
131,19,2.61,0.16
131,20,3.34,0.75
131,21,3.57,0.23
131,22,3.84,0.27
131,23,3.96,0.11
133,0,12.29,0.19
133,1,12.43,0.24
133,2,12.76,0.44
133,3,13.06,0.29
133,4,13.06,0.09
133,5,12.83,-0.31
133,6,9.73,-3.10
133,7,5.28,-4.59
133,8,2.60,-2.68
133,9,2.32,-0.27
133,10,2.32,-0.01
133,11,2.09,-0.23
133,12,2.23,0.14
133,13,2.46,0.23
133,14,3.09,0.64
133,15,5.08,1.99
133,16,6.50,1.41
133,17,7.61,1.11
133,18,7.84,0.17
133,19,9.86,2.03
133,20,11.90,2.10
133,21,12.79,0.89
133,22,13.50,0.72
133,23,14.00,0.49
134,0,17.44,0.62
134,1,17.85,0.48
134,2,18.21,0.48
134,3,18.42,0.21
134,4,18.54,-0.03
134,5,18.15,-0.24
134,6,16.77,-1.38
134,7,11.45,-5.41
134,8,8.40,-3.05
134,9,7.44,-0.96
134,10,6.48,-0.96
134,11,5.59,-0.90
134,12,5.13,-0.46
134,13,4.85,-0.28
134,14,5.27,0.42
134,15,6.08,0.82
134,16,7.61,1.53
134,17,9.48,1.87
134,18,10.34,0.84
134,19,11.63,1.29
134,20,13.27,1.62
134,21,15.43,2.16
134,22,16.73,1.30
134,23,17.53,0.81
135,0,4.05,0.23
135,1,4.23,0.12
135,2,4.14,-0.22
135,3,4.07,-0.06
135,4,4.10,-0.03
135,5,4.25,0.21
135,6,3.64,-0.61
135,7,3.59,0.00
135,8,4.15,0.56
135,9,4.73,0.58
135,10,4.51,-0.22
135,11,4.19,-0.31
135,12,4.07,-0.13
135,13,4.07,0.00
135,14,3.99,-0.08
135,15,4.52,0.52
135,16,4.16,-0.36
135,17,3.90,-0.26
135,18,4.73,0.76
135,19,4.64,-0.09
135,20,4.02,-0.65
135,21,3.63,-0.39
135,22,3.57,-0.06
135,23,3.98,0.41
136,0,5.69,0.39
136,1,5.85,0.13
136,2,5.86,0.13
136,3,5.88,0.02
136,4,5.67,-0.15
136,5,5.51,-0.23
136,6,5.42,-0.09
136,7,5.07,-0.33
136,8,4.01,-1.07
136,9,3.75,-0.26
136,10,3.71,-0.03
136,11,3.48,-0.23
136,12,3.47,-0.02
136,13,3.58,0.11
136,14,2.98,-0.60
136,15,2.72,-0.26
136,16,2.68,-0.04
136,17,2.75,0.07
136,18,3.01,0.24
136,19,3.67,0.66
136,20,4.54,0.83
136,21,4.94,0.40
136,22,5.31,0.37
136,23,5.72,0.42
137,0,13.94,0.53
137,1,14.33,0.47
137,2,14.45,0.40
137,3,14.63,0.19
137,4,14.56,-0.07
137,5,14.33,-0.24
137,6,13.21,-1.12
137,7,10.46,-2.84
137,8,10.43,-0.03
137,9,10.70,0.27
137,10,10.32,-0.38
137,11,10.15,-0.17
137,12,9.66,-0.49
137,13,9.47,-0.18
137,14,8.92,-0.55
137,15,9.62,0.70
137,16,11.67,2.05
137,17,11.92,0.25
137,18,11.83,0.01
137,19,10.69,-1.15
137,20,11.46,0.86
137,21,12.50,1.03
137,22,13.17,0.68
137,23,13.39,0.22
138,0,17.92,0.77
138,1,18.69,0.70
138,2,19.09,0.55
138,3,19.62,0.53
138,4,19.92,0.11
138,5,18.94,-0.79
138,6,15.14,-3.80
138,7,11.99,-3.12
138,8,10.26,-1.74
138,9,9.54,-0.72
138,10,9.14,-0.40
138,11,8.12,-1.02
138,12,7.24,-0.88
138,13,7.12,-0.12
138,14,7.59,0.47
138,15,10.33,2.74
138,16,12.79,2.46
138,17,13.95,1.16
138,18,14.59,0.84
138,19,15.37,0.78
138,20,15.51,0.08
138,21,16.82,1.30
138,22,17.65,0.83
138,23,18.19,0.54
139,0,15.26,0.25
139,1,15.53,0.19
139,2,15.59,-0.13
139,3,15.78,0.19
139,4,15.52,0.04
139,5,15.71,-0.11
139,6,14.71,-1.00
139,7,12.83,-1.81
139,8,13.00,0.17
139,9,13.18,0.18
139,10,13.01,-0.17
139,11,12.44,-0.57
139,12,11.99,-0.45
139,13,11.32,-0.67
139,14,10.29,-1.03
139,15,10.25,-0.04
139,16,11.85,1.60
139,17,12.88,1.03
139,18,13.26,0.37
139,19,13.80,0.53
139,20,14.63,0.76
139,21,15.04,0.41
139,22,15.36,0.33
139,23,15.68,0.31
140,0,11.88,0.05
140,1,11.89,0.03
140,2,12.15,0.29
140,3,12.10,-0.05
140,4,12.00,-0.04
140,5,12.02,-0.04
140,6,11.35,-0.67
140,7,10.41,-0.97
140,8,10.10,-0.31
140,9,10.11,0.01
140,10,9.97,-0.15
140,11,9.95,-0.01
140,12,10.26,0.30
140,13,10.17,-0.09
140,14,9.55,-0.62
140,15,9.78,0.23
140,16,10.42,0.64
140,17,11.00,0.57
140,18,11.76,0.76
140,19,12.11,0.35
140,20,12.04,-0.05
140,21,12.10,0.06
140,22,12.42,0.32
140,23,12.72,0.30
141,0,14.42,0.15
141,1,14.42,0.12
141,2,14.71,0.57
141,3,14.93,0.22
141,4,15.89,1.02
141,5,16.16,0.24
141,6,14.81,-1.36
141,7,12.75,-2.16
141,8,10.73,-2.02
141,9,10.06,-0.66
141,10,9.71,-0.35
141,11,9.39,-0.33
141,12,8.68,-0.70
141,13,8.40,-0.28
141,14,9.07,0.67
141,15,9.97,0.90
141,16,10.69,0.72
141,17,11.33,0.64
141,18,11.17,0.10
141,19,11.78,0.61
141,20,12.43,0.81
141,21,13.28,0.85
141,22,14.11,0.83
141,23,14.42,0.31
142,0,6.90,-0.16
142,1,7.08,0.04
142,2,6.86,-0.74
142,3,6.71,-0.16
142,4,6.92,0.18
142,5,7.35,0.46
142,6,6.74,-0.61
142,7,5.66,-0.95
142,8,5.20,-0.46
142,9,5.00,-0.20
142,10,4.53,-0.47
142,11,4.00,-0.53
142,12,4.20,0.20
142,13,4.35,0.15
142,14,4.31,-0.04
142,15,5.38,1.07
142,16,6.58,1.19
142,17,7.49,0.92
142,18,8.15,0.85
142,19,7.82,-0.33
142,20,7.27,-0.64
142,21,6.55,-0.72
142,22,6.65,0.10
142,23,7.17,0.52
144,0,11.79,0.44
144,1,12.13,0.36
144,2,12.37,0.14
144,3,12.49,0.12
144,4,12.73,0.11
144,5,12.33,-0.27
144,6,11.24,-1.09
144,7,8.24,-3.03
144,8,6.04,-2.20
144,9,5.37,-0.68
144,10,5.09,-0.28
144,11,4.93,-0.16
144,12,4.72,-0.22
144,13,4.69,-0.02
144,14,5.09,0.40
144,15,5.96,0.87
144,16,6.51,0.55
144,17,7.50,0.98
144,18,8.40,1.03
144,19,8.94,0.54
144,20,10.22,1.26
144,21,10.79,0.57
144,22,11.38,0.60
144,23,11.75,0.36
145,0,4.74,0.03
145,1,4.83,0.00
145,2,4.88,-0.05
145,3,4.80,-0.09
145,4,4.67,-0.14
145,5,4.46,-0.20
145,6,4.03,-0.43
145,7,3.34,-0.61
145,8,2.82,-0.53
145,9,2.53,-0.29
145,10,2.70,0.17
145,11,2.73,0.03
145,12,2.82,0.09
145,13,2.62,-0.20
145,14,2.83,0.21
145,15,3.57,0.73
145,16,3.54,-0.03
145,17,3.52,-0.02
145,18,4.09,0.58
145,19,4.71,0.62
145,20,5.19,0.42
145,21,5.10,-0.09
145,22,4.98,-0.12
145,23,4.85,-0.13
146,0,9.90,0.24
146,1,10.16,0.16
146,2,10.33,0.32
146,3,10.50,0.17
146,4,10.60,0.05
146,5,10.40,-0.15
146,6,10.10,-0.30
146,7,9.51,-0.50
146,8,8.70,-0.81
146,9,8.18,-0.52
146,10,7.95,-0.23
146,11,7.66,-0.29
146,12,7.73,0.07
146,13,7.79,0.06
146,14,7.51,-0.28
146,15,7.49,-0.02
146,16,8.27,0.78
146,17,9.08,0.81
146,18,9.07,0.02
146,19,8.82,-0.25
146,20,9.08,0.16
146,21,9.61,0.53
146,22,9.71,0.10
146,23,9.89,0.18
147,0,3.48,0.05
147,1,3.50,-0.05
147,2,3.70,0.03
147,3,3.67,-0.03
147,4,3.63,-0.07
147,5,3.70,0.09
147,6,4.92,1.22
147,7,6.21,1.38
147,8,6.41,0.20
147,9,6.42,0.01
147,10,6.30,-0.11
147,11,6.12,-0.18
147,12,5.83,-0.28
147,13,5.43,-0.41
147,14,4.81,-0.61
147,15,3.65,-1.16
147,16,2.72,-0.93
147,17,2.66,-0.07
147,18,2.59,-0.12
147,19,2.83,0.24
147,20,3.26,0.40
147,21,2.97,-0.29
147,22,2.99,0.03
147,23,3.03,0.03
148,0,17.29,0.82
148,1,17.54,0.37
148,2,17.92,0.66
148,3,18.19,0.27
148,4,18.19,-0.02
148,5,17.78,-0.39
148,6,15.25,-2.53
148,7,12.26,-3.14
148,8,9.72,-2.54
148,9,8.66,-1.06
148,10,7.72,-0.94
148,11,6.95,-0.77
148,12,6.13,-0.82
148,13,5.67,-0.46
148,14,5.83,0.16
148,15,6.72,0.89
148,16,8.03,1.31
148,17,9.43,1.40
148,18,10.58,1.16
148,19,11.82,1.25
148,20,13.10,1.30
148,21,15.51,2.41
148,22,16.86,1.35
148,23,17.62,0.76
149,0,11.45,0.58
149,1,11.87,0.47
149,2,12.36,0.41
149,3,12.42,0.05
149,4,12.26,-0.03
149,5,10.93,-1.46
149,6,6.88,-4.05
149,7,3.35,-3.67
149,8,2.20,-1.15
149,9,1.98,-0.22
149,10,1.75,-0.23
149,11,2.18,0.43
149,12,2.39,0.21
149,13,2.24,-0.15
149,14,2.45,0.22
149,15,3.76,1.30
149,16,6.12,2.37
149,17,6.97,0.85
149,18,7.01,-0.05
149,19,7.96,0.95
149,20,9.50,1.59
149,21,10.96,1.46
149,22,11.52,0.56
149,23,12.23,0.71
150,0,4.36,-0.34
150,1,4.20,-0.25
150,2,3.63,-0.45
150,3,3.38,-0.25
150,4,3.50,0.06
150,5,3.58,0.14
150,6,4.07,0.49
150,7,7.75,3.76
150,8,12.25,4.55
150,9,13.50,1.25
150,10,13.87,0.37
150,11,14.08,0.20
150,12,14.64,0.56
150,13,14.44,-0.20
150,14,13.98,-0.46
150,15,12.75,-1.23
